	is_empowering	power	agency	sentiment	concreteness	anger_count	anger_binary	anger_normalized	social_count	social_binary	social_normalized	relig_count	relig_binary	relig_normalized	sexual_count	sexual_binary	sexual_normalized	humans_count	humans_binary	humans_normalized
nobs	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0	4460.0
missing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mean	0.5275784753363228	0.6250899453721728	0.4761907614108866	0.6706935385221765	2.379830781157458	0.0	0.0	0.0	2.42847533632287	0.8311659192825112	0.01753213124036898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
std_err	0.00011194951260998635	2.3501361295405998e-05	1.946813397210299e-05	2.4171941233096085e-05	5.6307997761902655e-05	0.0	0.0	0.0	0.0004771078251492361	8.400163841593353e-05	3.1551413122872005e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
upper_ci	0.5277978923491252	0.6251360071938994	0.47622891825231817	0.6707409146564298	2.3799411428051127	0.0	0.0	0.0	2.429410450476905	0.8313305594684487	0.0175383152037072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lower_ci	0.5273590583235205	0.6250438835504462	0.4761526045694551	0.6706461623879232	2.379720419509803	0.0	0.0	0.0	2.4275402221688354	0.8310012790965736	0.017525947277030763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
std	0.4992948262405391	0.10481607137751076	0.08682787751557934	0.10780685789960853	0.25113367001808584	0.0	0.0	0.0	2.127900900165593	0.3746473073350636	0.014071930252800914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
iqr	1.0	0.14540625000000007	0.10928787878787882	0.1388636363636362	0.3159335735402813	0.0	0.0	0.0	3.0	0.0	0.01874447391688771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
iqr_normal	0.741301109252801	0.10778981441729014	0.08101522577334024	0.10293976767124109	0.2342019085156119	0.0	0.0	0.0	2.223903327758403	0.0	0.013895299306949055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mad	0.4984788553962477	0.08776324681582888	0.06761139651525648	0.08382756382470646	0.1957553410977975	0.0	0.0	0.0	1.7079562227271814	0.2806582678115386	0.011324803328852011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mad_normal	0.6247505966209661	0.10999491797098788	0.08473831909621489	0.105062270838222	0.24534293645288754	0.0	0.0	0.0	2.1406056798599575	0.3517529748026811	0.014193536114367864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
coef_var	0.946389683396857	0.1676815827122355	0.1823384335687666	0.16073937157222798	0.10552585167250593				0.8762291584099847	0.4507491207753935	0.8026366024684605									
range	1.0	0.77	0.685	0.772	1.8595833333333334	0.0	0.0	0.0	10.0	1.0	0.06557377049180328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
max	1.0	0.954	0.812	0.959	3.35625	0.0	0.0	0.0	10.0	1.0	0.06557377049180328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
min	0.0	0.184	0.127	0.187	1.4966666666666668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skew	-0.11048208859417027	-0.8272634788413985	0.026301527557120497	-0.7868228733087752	0.22104522585104386	0.0	0.0	0.0	1.053477413223721	-1.7680791788251256	0.7791974215760913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
kurtosis	1.0122062919001305	3.2641418450804216	3.523367412153247	4.2287909348308155	3.614225492149684	0.0	0.0	0.0	3.702579302146094	4.12610398259493	3.1516792830285665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jarque_bera	743.3610213035956	521.6769767240105	51.41646506752376	740.7852047612392	106.42989480038922	1672.5	1672.5	1672.5	916.6928488151839	2559.3944354409023	455.58920294177733	1672.5	1672.5	1672.5	1672.5	1672.5	1672.5	1672.5	1672.5	1672.5
jarque_bera_pval	3.8124590970662227e-162	5.239427514026196e-114	6.8400058176427794e-12	1.3820910299152296e-161	7.74536679479706e-24	0.0	0.0	0.0	8.763489682615735e-200	0.0	1.1750641425634332e-99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mode	1.0	0.704	0.4946	0.719	2.69	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mode_freq	0.5275784753363228	0.0047085201793721975	0.004260089686098654	0.004035874439461884	0.003811659192825112	1.0	1.0	1.0	0.2587443946188341	0.8311659192825112	0.1688340807174888	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
median	1.0	0.6723750000000001	0.4786904761904762	0.6875	2.3685714285714283	0.0	0.0	0.0	2.0	1.0	0.015228426395939087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1%	0.0	0.344795	0.264	0.3465183333333334	1.7817657142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5%	0.0	0.431	0.33333030303030303	0.47542142857142855	2.0014071428571434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10%	0.0	0.4703	0.36533333333333334	0.5306000000000001	2.0833333333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25%	0.0	0.54859375	0.42000000000000004	0.6075	2.2163580931263853	0.0	0.0	0.0	1.0	1.0	0.006896551724137931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50%	1.0	0.6723750000000001	0.4786904761904762	0.6875	2.3685714285714283	0.0	0.0	0.0	2.0	1.0	0.015228426395939087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75%	1.0	0.6940000000000001	0.5292878787878789	0.7463636363636362	2.5322916666666666	0.0	0.0	0.0	4.0	1.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90%	1.0	0.7237888888888888	0.5822428571428571	0.78975	2.7	0.0	0.0	0.0	6.0	1.0	0.03731343283582089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95%	1.0	0.7456	0.6153466666666668	0.8175728571428571	2.8036468531468532	0.0	0.0	0.0	7.0	1.0	0.0451152073732719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99%	1.0	0.81	0.6898416666666665	0.8844099999999998	3.0256833333333333	0.0	0.0	0.0	9.0	1.0	0.05654088050314464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
