	is_empowering	power	agency	sentiment	concreteness	anger_count	anger_binary	anger_normalized	social_count	social_binary	social_normalized	relig_count	relig_binary	relig_normalized	sexual_count	sexual_binary	sexual_normalized	humans_count	humans_binary	humans_normalized
nobs	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0	181230.0
missing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mean	1.0	0.511224583653587	0.4304044635352145	0.6097662423058059	2.59684540921505	0.0	0.0	0.0	3.8837885559785907	1.0	0.022311776590735983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
std_err	0.0	3.695050038652131e-07	3.280300597416422e-07	4.038343225091939e-07	1.268331854919673e-06	0.0	0.0	0.0	1.3333807973430143e-05	0.0	7.141317864253057e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
upper_ci	1.0	0.5112253078700867	0.43040510646231744	0.6097670338065337	2.596847895099806	0.0	0.0	0.0	3.8838146897619956	1.0	0.022311916557994145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lower_ci	1.0	0.5112238594370874	0.43040382060811155	0.609765450805078	2.5968429233302937	0.0	0.0	0.0	3.883762422195186	1.0	0.02231163662347782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
std	0.0	0.06696539185049256	0.05944888772697782	0.07318689426834121	0.22985978206709234	0.0	0.0	0.0	2.416486019024745	0.0	0.012942210365385816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
iqr	0.0	0.08963636363636357	0.07859722222222226	0.09763888888888894	0.31374583333333383	0.0	0.0	0.0	3.0	0.0	0.018534351145038166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
iqr_normal	0.0	0.06644753579302375	0.05826420801752226	0.07237981663954436	0.2325801342734448	0.0	0.0	0.0	2.223903327758403	0.0	0.013739535063097715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mad	0.0	0.05330384531332905	0.04711920503883458	0.05817304399718574	0.1843461321080103	0.0	0.0	0.0	1.9402759104149194	0.0	0.01054188941967783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mad_normal	0.0	0.06680646290447387	0.05905516581423913	0.07290909845234948	0.23104361353040015	0.0	0.0	0.0	2.4317752288157215	0.0	0.013212299043698918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
coef_var	0.0	0.1309901636026746	0.13812330671174342	0.12002450970651965	0.088515004108994				0.6221981408603918	0.0	0.5800618481792937									
range	0.0	0.45310606060606057	0.40587499999999993	0.5145666666666666	1.5564999999999996	0.0	0.0	0.0	11.0	0.0	0.06258434547908232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
max	1.0	0.7368333333333333	0.6341249999999999	0.8641666666666666	3.3665	0.0	0.0	0.0	12.0	1.0	0.06578947368421052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
min	1.0	0.2837272727272728	0.22825	0.3496	1.8100000000000003	0.0	0.0	0.0	1.0	1.0	0.003205128205128205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skew	0.0	0.03076665740233924	0.22757563199184416	-0.15488128467505088	0.145234462786848	0.0	0.0	0.0	0.884533139206424	0.0	0.7256746914526415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
